Date, Open, High, Low, Close
02/15/22, 224.5800, 226.1700, 224.4000, 226.0700
02/14/22, 222.5200, 223.5500, 220.3000, 222.1200
02/11/22, 227.3800, 228.5000, 222.0100, 222.9400
02/10/22, 228.1600, 231.8100, 226.1400, 227.3500
02/09/22, 229.8600, 231.3000, 229.5950, 231.2700
02/08/22, 225.2700, 228.0500, 224.4800, 227.5700
02/07/22, 226.4800, 227.3800, 224.8400, 225.5000
02/04/22, 224.8300, 227.9900, 223.3200, 226.0700
02/03/22, 226.8100, 227.9300, 224.1325, 224.5800
02/02/22, 229.8900, 230.4384, 227.9900, 230.0500
02/01/22, 227.9400, 228.9300, 225.1400, 228.5400
01/31/22, 222.0900, 226.9500, 221.2200, 226.8100
01/28/22, 217.5000, 222.1700, 214.9300, 222.0900
01/27/22, 220.8100, 222.4000, 215.9000, 216.7500
01/26/22, 222.7200, 224.1600, 216.0500, 218.3700
01/25/22, 219.1000, 222.0150, 215.6400, 219.2200
01/24/22, 217.9900, 222.5700, 212.1000, 222.3300
01/21/22, 224.6200, 226.0900, 220.8250, 220.9100
01/20/22, 229.1300, 231.9100, 225.1400, 225.3700
01/19/22, 231.2200, 232.1600, 227.9000, 228.0300
01/18/22, 232.5000, 232.7000, 229.9400, 230.4500
01/14/22, 233.5000, 235.1300, 232.3100, 235.0200
01/13/22, 239.1800, 239.4000, 234.4800, 234.9300
01/12/22, 239.0400, 239.8500, 237.3100, 238.4200
01/11/22, 235.7100, 238.1100, 234.0900, 238.0500
01/10/22, 234.2100, 235.8400, 230.9700, 235.7000
01/07/22, 237.1900, 238.0700, 235.3200, 236.1100
01/06/22, 237.2000, 238.7744, 235.5423, 237.1900
01/05/22, 242.0800, 242.6600, 237.2048, 237.2500
01/04/22, 243.7300, 244.0580, 241.3500, 242.5100
01/03/22, 242.4200, 242.9700, 240.8576, 242.9700
12/31/21, 242.0900, 242.6926, 241.4400, 241.4400
12/30/21, 243.1100, 243.6900, 242.0000, 242.2100
12/29/21, 242.5500, 243.1600, 241.7100, 242.6000
12/28/21, 243.0600, 243.7800, 242.0420, 242.4600
12/27/21, 240.4800, 242.9600, 240.3400, 242.9600
12/23/21, 239.8700, 241.3550, 239.5000, 240.6700
12/22/21, 236.6300, 239.1000, 236.5501, 239.0200
12/21/21, 234.1900, 236.8400, 233.2200, 236.6800
12/20/21, 232.1000, 232.3500, 230.0700, 232.1300
12/17/21, 235.0000, 237.1600, 233.3400, 235.4400
12/16/21, 240.2900, 240.4865, 235.6600, 236.5200
12/15/21, 235.5600, 239.2480, 233.8500, 239.2000
12/14/21, 235.4500, 236.8600, 234.0500, 235.5700
12/13/21, 239.5000, 239.6000, 237.1350, 237.3500
12/10/21, 239.4200, 239.8700, 237.5700, 239.5300
12/09/21, 239.5200, 239.9000, 237.7820, 237.9100
12/08/21, 239.5700, 240.3800, 238.6400, 240.2000
12/07/21, 237.5600, 239.7000, 237.3400, 239.1700
12/06/21, 232.6100, 235.1800, 230.9500, 234.1600
12/03/21, 234.8300, 235.2700, 229.0200, 231.1900
12/02/21, 230.2100, 234.6800, 230.0900, 233.9000
12/01/21, 236.4100, 237.8673, 229.8800, 230.1600
11/30/21, 236.9900, 237.7300, 233.1000, 233.4500
11/29/21, 238.4800, 239.2800, 236.5200, 238.2100
11/26/21, 237.2400, 238.1000, 234.9400, 235.9900
11/24/21, 239.1400, 241.2100, 238.6251, 241.2100
11/23/21, 240.1000, 241.1000, 238.2364, 240.4000
11/22/21, 242.3400, 243.6000, 240.2500, 240.3200
11/19/21, 242.0900, 242.6200, 241.3302, 241.4800
11/18/21, 242.3000, 242.4400, 240.5200, 242.1700
11/17/21, 242.6000, 242.6000, 241.4300, 241.7900
11/16/21, 241.6600, 243.3300, 241.4100, 242.7900
11/15/21, 242.4400, 242.6700, 241.1400, 241.7500
11/12/21, 240.6400, 242.0400, 240.2120, 241.7500
11/11/21, 240.6700, 240.7580, 239.9550, 239.9700
11/10/21, 241.1400, 241.9600, 238.7300, 239.6800
11/09/21, 243.0400, 243.1400, 241.1900, 242.0600
11/08/21, 243.1700, 243.5600, 242.4300, 242.7600
11/05/21, 242.7500, 243.5100, 241.3900, 242.3600
11/04/21, 241.0300, 241.8010, 240.5300, 241.4300
11/03/21, 238.6900, 240.7300, 238.2950, 240.5200
11/02/21, 238.3200, 238.9300, 237.9100, 238.8300
11/01/21, 237.7500, 238.1200, 236.7200, 238.0900
10/29/21, 235.4800, 237.1300, 235.3700, 236.9100
10/28/21, 234.9400, 236.6000, 234.7819, 236.6000
10/27/21, 236.0500, 236.0800, 233.9900, 234.1000
10/26/21, 236.6500, 237.1900, 235.4600, 235.7100
10/25/21, 235.0700, 235.9600, 234.1000, 235.8000
10/22/21, 234.6000, 235.3100, 233.3150, 234.3600
10/21/21, 233.9100, 234.9500, 233.6714, 234.8100
10/20/21, 233.5500, 234.3490, 233.3900, 234.1700
10/19/21, 232.5000, 233.2800, 232.1100, 233.2600
10/18/21, 230.0700, 231.6600, 229.4500, 231.5700
