Date,Close/Last,Volume,Open,High,Low
10/07/2016,80.73,46661,81.06,81.167,80.29
10/06/2016,81.37,119357,81.17,81.47,80.86
10/05/2016,81.29,366335,80.75,81.36,80.6301
10/04/2016,79.83,203188,80.40,80.61,79.47
10/03/2016,80.05,467834,79.69,80.17,79.5203
09/30/2016,79.91,40355,79.67,80.094,79.43
09/29/2016,79.72,41697,80.51,80.59,79.384
09/28/2016,80.73,51635,80.35,80.75,79.66
09/27/2016,80.12,43635,79.68,80.17,79.65
09/26/2016,79.08,66883,79.61,79.61,78.997
09/23/2016,80.83,18005,80.96,81.11,80.591
09/22/2016,81.91,149696,81.75,82.08,81.61
09/21/2016,81.38,71766,80.21,81.38,80.19
09/20/2016,79.38,39403,79.76,79.78,79.3368
09/19/2016,79.21,123275,79.56,79.94,79.21
09/16/2016,79.29,20583,79.36,79.459,78.8301
09/15/2016,79.76,34632,78.8236,79.8647,78.64
09/14/2016,78.08,21964,78.19,78.60,78.08
09/13/2016,77.78,285594,78.14,78.4399,77.2501
09/12/2016,79.52,71800,77.84,79.60,77.75
09/09/2016,79.06,226351,80.40,80.40,78.995
09/08/2016,80.71,77573,80.57,81.03,80.47
09/07/2016,80.22,281913,80.24,80.47,80.15
09/06/2016,80.56,211276,79.55,80.62,79.55
09/02/2016,78.66,89832,78.30,78.95,78.30
09/01/2016,77.45,60167,77.27,77.60,76.9801
08/31/2016,76.70,11954,76.8301,77.0199,76.432
08/30/2016,77.53,106672,77.45,77.7456,77.35
08/29/2016,77.00,39588,76.70,77.15,76.6865
08/26/2016,76.53,51055,76.8942,77.61,75.9805
08/25/2016,76.52,33530,76.18,76.68,76.1101
08/24/2016,76.51,10222,76.74,76.8696,76.3901
08/23/2016,76.91,136219,77.23,77.60,76.9001
08/22/2016,77.05,152536,77.40,77.40,76.7501
08/19/2016,77.73,178308,77.39,77.83,77.11
08/18/2016,77.89,188540,77.52,77.92,77.36
08/17/2016,77.17,141187,76.98,77.26,76.425
08/16/2016,77.32,20545,77.49,77.49,76.9648
08/15/2016,77.45,19926,76.99,77.54,76.99
08/12/2016,76.16,12509,75.63,76.25,75.63
08/11/2016,75.73,106798,75.13,75.86,75.13
08/10/2016,74.15,29615,74.43,74.47,74.05
08/09/2016,74.22,24702,74.06,74.47,74.06
08/08/2016,73.65,42012,73.73,73.86,73.61
08/05/2016,73.31,68325,72.99,73.3924,72.96
08/04/2016,72.26,31065,72.13,72.50,71.95
08/03/2016,71.92,71603,71.51,72.039,71.51
08/02/2016,71.69,25907,71.91,72.12,71.29
08/01/2016,72.11,9659,72.28,72.4074,71.95
07/29/2016,72.08,26985,71.89,72.20,71.482
07/28/2016,72.31,31090,72.33,72.42,72.10
07/27/2016,72.63,28950,72.77,72.85,72.31
07/26/2016,72.88,72319,72.53,72.95,72.53
07/25/2016,72.09,42570,72.57,72.57,71.98
07/22/2016,72.61,15204,72.34,72.68,72.3244
07/21/2016,72.22,16962,72.46,72.63,72.031
07/20/2016,72.35,71435,72.19,72.45,72.021
07/19/2016,71.42,33445,71.81,71.87,71.35
07/18/2016,72.43,68548,71.61,72.45,71.61
07/15/2016,71.93,23646,72.09,72.11,71.704
07/14/2016,72.19,34364,71.93,72.29,71.78
07/13/2016,71.22,27854,71.58,71.58,71.0111
07/12/2016,71.69,57995,71.46,71.95,71.46
07/11/2016,70.67,83790,70.12,70.9221,70.12
07/08/2016,69.84,58350,69.32,69.92,69.19
07/07/2016,68.75,25356,68.97,69.25,68.5039
07/06/2016,68.86,64711,68.19,68.89,67.838
07/05/2016,68.92,36482,68.86,69.25,68.65
07/01/2016,70.30,28021,70.16,70.94,70.118
06/30/2016,69.89,49068,69.44,70.06,69.1301
06/29/2016,68.89,62774,68.55,69.02,68.55
06/28/2016,67.51,21442,67.36,67.71,67.01
06/27/2016,66.06,134178,66.65,66.65,65.3401
06/24/2016,66.61,62558,66.46,68.0518,66.0201
06/23/2016,70.01,63742,69.44,70.05,69.28
06/22/2016,68.61,138158,68.79,69.09,68.55
06/21/2016,68.23,38189,67.93,68.42,67.77
06/20/2016,67.73,40694,67.64,68.19,67.63
06/17/2016,66.69,44747,66.68,66.92,66.31
06/16/2016,67.55,78150,66.57,67.5811,66.13
06/15/2016,67.63,34571,67.69,68.10,67.5223
06/14/2016,67.24,40375,66.93,67.52,66.60
06/13/2016,67.03,50973,67.09,67.73,66.94
06/10/2016,68.20,28635,68.25,68.6316,68.00
06/09/2016,70.01,16853,69.73,70.01,69.73
06/08/2016,70.38,34141,70.42,70.70,70.2347
06/07/2016,70.53,41238,70.58,70.89,70.53
06/06/2016,70.06,53557,69.44,70.2608,69.44
06/03/2016,69.11,66157,69.20,69.255,68.68
06/02/2016,69.04,46830,68.44,69.18,68.44
06/01/2016,68.60,49464,68.73,68.87,68.445
05/31/2016,69.35,81792,68.84,69.51,68.57
05/27/2016,68.22,20325,68.12,68.37,67.806
05/26/2016,67.50,34546,67.17,67.58,67.14
05/25/2016,67.33,29764,67.39,67.638,66.97
05/24/2016,67.17,43074,66.12,67.28,66.12
05/23/2016,65.65,109322,65.73,66.15,65.64
05/20/2016,65.92,26050,65.75,66.11,65.75
05/19/2016,65.11,61531,65.29,65.31,64.79
05/18/2016,65.76,42404,65.66,66.5599,65.48
05/17/2016,66.21,38185,66.54,66.64,65.94
05/16/2016,66.45,94469,65.72,66.67,65.72
05/13/2016,64.85,68258,65.63,65.7698,64.80
05/12/2016,65.98,95620,66.76,66.76,65.81
05/11/2016,66.31,51803,66.46,66.706,66.22
05/10/2016,66.94,18975,66.26,67.01,66.26
05/09/2016,65.93,92267,66.67,66.75,65.885
05/06/2016,67.18,137666,66.70,67.42,66.70
05/05/2016,67.41,39815,67.87,67.95,67.23
05/04/2016,67.02,168796,67.25,67.58,66.875
05/03/2016,67.65,237970,68.32,68.46,67.65
05/02/2016,69.11,45212,69.70,69.70,68.7801
04/29/2016,69.41,84990,69.60,69.81,68.92
04/28/2016,70.02,76540,70.44,70.76,69.94
04/27/2016,70.66,31763,70.125,70.80,69.92
